,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,anlge_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
1693,T_prime,NiGeI,Ni,Ge,I,283253,7.622765227,3.823029161,19,90,90,120.0816306,P 1,-22.34907248,0.123628085,-0.08227,3.95542,-1.17572,-1.1685,43.125573,26.772292,43.165796,26.772292,-0.503079474,24.12797166,-1.682054237,-1.670763433,0,5.948434,5.816436,1.357704,3.937737,3.68872,0.00489,-1.395425,-1.438805,0.04486,3.58558,3.593915,0.11845,-2.19015,-2.15511,-0.163305,NiGeGe,NiII,0.291023355,-0.74888102,-0.74888102,0.291023355,0.352556918
1694,T_prime,NiSiBr,Ni,Si,Br,281435,7.15968407,3.581605129,19,90,90,119.7356641,P 1,-24.61339456,0.097834655,-0.24529,5.51665,-1.86789,-1.85858,38.419387,30.453086,37.060184,30.453086,-3.079095304,83.49581011,-2.712099506,-2.75291065,0,4.872905,4.771495,1.33336,5.563171,5.290794,0.008793,-0.7985,-0.80807,0.112855,3.22019,3.220935,0.10941,-2.421685,-2.41287,-0.222265,NiSiSi,NiBrBr,0.11862928,-1.445734125,-1.445734125,0.11862928,0.761387077
1695,T_prime,NiSiCl,Ni,Si,Cl,281417,7.094830041,3.186688914,19,90,90,117.0309254,P 1,-25.90549051,-0.26065362,-0.16435,0.27094,-2.39742,-2.23554,42.792579,23.346269,29.216319,23.346269,-0.845147486,4.615633598,-3.624828784,-4.253101084,0.32,6.867856,7.696093,1.360899,3.080887,2.728449,0.01522,-1.521845,-1.89397,0.13849,2.814185,2.763655,0.157345,-1.292335,-0.869685,-0.295835,NiSiSi,NiClCl,0.11862928,-1.97389014,-1.97389014,0.11862928,0.66697681
1696,T_prime,NiSiF,Ni,Si,F,281409,5.600711049,2.841966308,19,90,90,120.0122848,P 1,-28.56063329,-1.57893581,-3.47985,-4.6455,-6.45867,-6.3783,46.85666,25.524144,34.858065,25.524144,-16.31242184,-49.77008055,-8.923180793,-10.56321076,0,21.200965,26.760004,1.330346,9.884793,12.224973,0.018137,-0.38967,-0.0926,0.28538,2.55843,2.4181,0.064065,-2.168755,-2.325495,-0.349445,NiSiSi,NiFF,0.11862928,-4.96384505,-4.96384505,0.11862928,0.843672075
1697,T_prime,NiSiI,Ni,Si,I,281453,7.480906842,3.750133118,19,90,90,120.0672451,P 1,-23.51291845,0.47274796,-0.08113,5.97493,-0.75107,-0.74081,47.279942,31.215936,46.852841,31.215936,-0.505042142,38.2104387,-0.956827313,-0.948919694,0,6.139545,5.963166,1.359503,5.263464,4.98517,0.006382,-1.148025,-1.20159,0.07498,3.660105,3.676435,0.112495,-2.512085,-2.474845,-0.187475,NiSiSi,NiII,0.11862928,-0.74888102,-0.74888102,0.11862928,0.78787383
1698,T_prime,NiSnBr,Ni,Sn,Br,285035,6.556000795,3.661544614,19,90,90,117.8356057,P 1,-22.39175283,-0.370488646,-4.98408,-9.15895,-2.52624,-2.91422,61.209241,10.522124,20.304863,10.522124,-9.833031143,-93.62357516,-3.521806674,-9.453470104,0.31,15.915386,11.152112,1.459135,10.079318,4.221103,0.015791,-1.33883,-1.727945,0.07246,2.715565,2.5514,0.108815,-1.37674,-0.82346,-0.18127,NiSnSn,NiBrBr,0.210406473,-1.445734125,-1.445734125,0.210406473,0.24717518
1699,T_prime,NiSnCl,Ni,Sn,Cl,285017,6.609535671,3.430141676,19,90,90,121.7343439,P 1,-23.42773267,-0.600918866,-7.7102,-5.21569,-3.38086,-3.4675,37.909522,18.845245,35.947848,18.845245,-40.44318072,-30.49646887,-5.95696217,-6.328352371,0,18.965058,20.170589,1.427356,7.293429,7.240308,0.011732,-1.083195,-0.670085,0.091205,2.43958,2.426205,0.103875,-1.35638,-1.75612,-0.19508,NiSnSn,NiClCl,0.210406473,-1.97389014,-1.97389014,0.210406473,0.280822967
1700,T_prime,NiSnF,Ni,Sn,F,285009,6.204755223,3.241750084,19,90,90,121.3262142,P 1,-25.8386123,-1.797069481,-2.63682,-5.23165,-4.84006,-4.85621,57.600153,23.124254,53.112201,23.124254,-7.648299469,-17.44584249,-5.995782663,-6.36993155,0,26.597743,24.403542,1.347695,10.993713,13.736539,0.028168,0.063855,0.307275,0.29048,2.405635,2.34372,0.09859,-2.46949,-2.651,-0.389065,NiSnSn,NiFF,0.210406473,-4.96384505,-4.96384505,0.210406473,0.579649807
1701,T_prime,NiSnI,Ni,Sn,I,285053,7.204688066,3.815888801,19,90,90,121.9869693,P 1,-21.38161386,-0.040743911,1.68587,3.62121,-1.45521,-1.64882,12.145959,0.332329,20.175682,0.332329,14.2705502,18.24898242,-11.66193632,-8.039882561,0,19.580405,23.205109,1.503022,3.016201,4.632442,0.009351,-0.694665,-1.323655,0.038005,1.69678,2.462995,0.10891,-1.00211,-1.139335,-0.14692,NiSnSn,NiII,0.210406473,-0.74888102,-0.74888102,0.210406473,0.228493362
1702,T_prime,PdCBr,Pd,C,Br,460635,6.465955666,3.203254016,19,90,90,119.7106871,P 1,-25.94552766,2.977944134,-9.60583,-14.63285,-0.12426,-0.34124,14.788802,-53.990248,-109.554741,-53.990248,-13.966215,26.3348934,0.316978103,0.208652067,0,17.098085,24.824729,1.451064,17.970423,48.922909,0.036116,-2.661645,-3.35206,0.063125,3.781305,4.135025,0.001635,-1.11966,-0.78297,-0.064755,PdCC,PdBrBr,3.026391506,-1.195485223,-1.195485223,3.026391506,2.062490993
