,Unnamed: 0,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,angle_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
1037,1037,H,MnBiS,Mn,Bi,S,258316-2,3.28,3.28,19.11,90.0,90.0,120.0,P 3 m 1,-17.38,-0.51,,,,,-9.57,97.07,-9.57,97.07,,,,,0.0,63.86,63.86,1.47,24.06,25.72,0.0,-5.32,-5.53,-0.04,2.9,3.0,0.06,2.42,2.53,-0.01,MnBiBi,MnSS,1.38,-1.5,-1.5,1.38,-0.45
1038,1038,H,MnBiSe,Mn,Bi,Se,258334-2,3.33,3.33,19.11,90.0,90.0,120.0,P 3 m 1,-16.3,-0.06,,,,,75.87,40.13,75.88,40.13,,,,,0.0,16.6,16.6,1.48,5.35,5.35,0.0,-5.75,-5.75,-0.19,3.13,3.12,0.12,2.62,2.62,0.07,MnBiBi,MnSeSe,1.38,-1.16,-1.16,1.38,-0.17
1039,1039,H,MnBiTe,Mn,Bi,Te,258352-2,3.45,3.45,19.11,90.0,90.0,120.0,P 3 m 1,-15.42,0.45,,,,,63.71,37.69,63.71,37.69,,,,,0.0,17.75,17.75,1.52,5.46,5.46,0.0,-6.14,-6.14,-0.24,3.19,3.19,0.13,2.95,2.95,0.11,MnBiBi,MnTeTe,1.38,-0.47,-0.47,1.38,-0.0
1040,1040,H,MnNO,Mn,N,O,250708-2,2.59,2.59,19.11,90.0,90.0,120.0,P 3 m 1,-23.28,-1.59,,,,,208.26,81.16,208.26,81.16,,,,,0.0,7.08,7.08,1.24,0.06,0.06,0.0,-0.38,-0.38,0.1,0.57,0.57,0.01,-0.19,-0.19,-0.11,MnNN,MnOO,0.99,-4.74,-4.74,0.99,0.29
1041,1041,H,MnNS,Mn,N,S,250716-2,2.88,2.88,19.11,90.0,90.0,120.0,P 3 m 1,-21.17,0.14,,,,,83.54,47.11,83.54,47.11,,,,,0.0,18.53,18.53,1.3,4.53,4.51,0.0,-3.63,-3.62,0.18,2.38,2.38,-0.17,1.25,1.24,-0.01,MnNN,MnSS,0.99,-1.5,-1.5,0.99,0.39
1042,1042,H,MnNSe,Mn,N,Se,250734-2,2.93,2.93,19.11,90.0,90.0,120.0,P 3 m 1,-20.53,0.15,,,,,97.07,34.37,97.07,34.37,,,,,0.0,18.76,18.76,1.32,3.59,3.58,0.0,-3.95,-3.94,0.09,1.96,1.95,-0.11,1.99,1.99,0.02,MnNN,MnSeSe,0.99,-1.16,-1.16,0.99,0.23
1043,1043,H,MnNTe,Mn,N,Te,250752-2,3.06,3.06,19.11,90.0,90.0,120.0,P 3 m 1,-19.61,0.71,,,,,105.6,64.51,105.6,64.51,,,,,0.0,20.77,20.77,1.36,92.25,92.23,0.0,-4.65,-4.65,0.07,0.78,0.77,-0.09,3.88,3.88,0.02,MnNN,MnTeTe,0.99,-0.47,-0.47,0.99,0.45
1044,1044,H,MnPO,Mn,P,O,251508-2,2.72,2.72,19.11,90.0,90.0,120.0,P 3 m 1,-21.57,-2.83,,,,,141.0,51.19,141.0,51.19,,,,,0.0,9.4,9.4,1.31,2.5,2.5,0.0,-2.33,-2.33,-0.0,2.74,2.74,0.14,-0.41,-0.41,-0.14,MnPP,MnOO,-0.37,-4.74,-4.74,-0.37,-0.28
1045,1045,H,MnPS,Mn,P,S,251516-2,2.94,2.94,19.11,90.0,90.0,120.0,P 3 m 1,-19.36,-1.0,,,,,97.15,44.8,97.15,44.8,,,,,0.0,9.52,9.52,1.39,2.2,2.2,0.0,-4.44,-4.44,-0.23,2.59,2.59,0.16,1.85,1.85,0.07,MnPP,MnSS,-0.37,-1.5,-1.5,-0.37,-0.07
1046,1046,H,MnPSe,Mn,P,Se,251534-2,3.03,3.03,19.11,90.0,90.0,120.0,P 3 m 1,-18.31,-0.59,,,,,83.87,42.23,83.87,42.23,,,,,0.0,10.69,10.69,1.42,2.36,2.36,0.0,-4.67,-4.67,-0.21,2.55,2.55,0.14,2.12,2.12,0.06,MnPP,MnSeSe,-0.37,-1.16,-1.16,-0.37,0.18
1047,1047,H,MnPTe,Mn,P,Te,251552-2,3.56,3.56,19.11,90.0,90.0,120.0,P 3 m 1,-17.47,-0.1,,,,,49.74,20.76,49.74,20.76,,,,,0.0,22.32,22.32,1.39,1.32,1.3,0.0,-4.15,-4.13,-0.11,3.08,3.06,0.08,1.07,1.07,0.03,MnPP,MnTeTe,-0.37,-0.47,-0.47,-0.37,0.32
1048,1048,H,MnSbO,Mn,Sb,O,255108-2,3.02,3.02,19.11,90.0,90.0,120.0,P 3 m 1,-19.59,-2.09,,,,,-185.46,56.87,-185.46,56.87,,,,,0.0,56.38,56.38,1.37,62.78,62.08,0.01,-1.89,-1.73,0.22,2.84,2.84,0.05,-0.96,-1.11,-0.28,MnSbSb,MnOO,0.78,-4.74,-4.74,0.78,-0.11
1049,1049,H,MnSbS,Mn,Sb,S,255116-2,3.16,3.16,19.11,90.0,90.0,120.0,P 3 m 1,-17.72,-0.59,,,,,89.64,42.54,89.64,42.54,,,,,0.0,15.14,15.14,1.44,4.81,4.81,0.0,-5.46,-5.46,-0.2,3.06,3.06,0.14,2.4,2.4,0.06,MnSbSb,MnSS,0.78,-1.5,-1.5,0.78,-0.23
1050,1050,H,MnSbSe,Mn,Sb,Se,255134-2,3.24,3.24,19.11,90.0,90.0,120.0,P 3 m 1,-16.85,-0.35,,,,,78.25,41.02,78.25,41.02,,,,,0.0,14.46,14.46,1.47,4.46,4.46,0.0,-5.54,-5.54,-0.24,3.06,3.06,0.15,2.48,2.48,0.09,MnSbSb,MnSeSe,0.78,-1.16,-1.16,0.78,-0.16
1051,1051,H,MnSbTe,Mn,Sb,Te,255152-2,3.38,3.38,19.11,90.0,90.0,120.0,P 3 m 1,-15.88,0.26,,,,,64.36,38.26,64.36,38.26,,,,,0.0,16.04,16.04,1.51,4.64,4.64,0.0,-5.92,-5.92,-0.27,3.09,3.09,0.16,2.83,2.83,0.11,MnSbSb,MnTeTe,0.78,-0.47,-0.47,0.78,0.1
1052,1052,H,ReAsO,Re,As,O,753308-2,2.99,2.99,19.11,90.0,90.0,120.0,P 3 m 1,-23.87,-2.26,0.0,-5.87,1.27,1.27,169.96,45.55,169.96,45.55,0.0,-4.72,0.59,0.59,0.62,5.84,5.84,1.33,1.18,1.18,0.01,-0.09,-0.09,0.07,2.06,2.06,0.18,-1.96,-1.96,-0.25,ReAsAs,ReOO,0.23,-3.68,-3.68,0.23,-0.54
