,Unnamed: 0,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,angle_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
741,741,T,MoSSe,Mo,S,Se,421634-1,3.22,3.22,19.15,90.0,90.0,120.0,P 3 m 1,-20.15,-1.58,,,,,102.11,-4.88,102.11,-4.88,,,,,0.0,55.96,55.96,1.4,6.58,6.51,0.0,-5.07,-5.05,0.01,0.47,0.49,-0.02,4.59,4.56,0.01,MoSS,MoSeSe,-1.8,-1.33,-1.8,-1.33,-0.01
742,742,T,MoSTe,Mo,S,Te,421652-1,3.32,3.32,19.15,90.0,90.0,120.0,P 3 m 1,-19.26,-1.05,,,,,101.06,-0.72,101.06,-0.72,,,,,0.0,25.19,25.19,1.44,7.1,7.08,0.0,-5.14,-5.14,-0.03,0.52,0.53,-0.03,4.62,4.62,0.06,MoSS,MoTeTe,-1.8,-0.28,-1.8,-0.28,-0.01
743,743,T,MoSeTe,Mo,Se,Te,423452-1,3.38,3.38,19.15,90.0,90.0,120.0,P 3 m 1,-18.4,-0.81,,,,,96.49,-1.54,96.49,-1.54,,,,,0.0,36.59,36.59,1.47,6.09,6.06,0.0,-5.32,-5.31,-0.07,0.77,0.77,0.02,4.55,4.54,0.05,MoSeSe,MoTeTe,-1.33,-0.28,-1.33,-0.28,-0.0
744,744,T,WOS,W,O,S,740816-1,3.07,3.07,19.15,90.0,90.0,120.0,P 3 m 1,-24.97,-3.36,,,,,121.65,17.0,121.65,17.0,,,,,0.0,19.84,19.84,1.29,2.06,2.06,0.01,-2.47,-2.49,0.36,-0.8,-0.78,-0.34,3.27,3.26,-0.02,WOO,WSS,-5.49,-1.56,-5.49,-1.56,0.17
745,745,T,WOSe,W,O,Se,740834-1,3.1,3.1,19.15,90.0,90.0,120.0,P 3 m 1,-23.82,-2.85,,,,,101.89,-4.47,101.89,-4.47,,,,,0.0,477.37,477.37,1.32,1587.65,1452.51,0.01,-47.4,-45.23,0.33,24.35,23.04,-0.36,23.05,22.19,0.02,WOO,WSeSe,-5.49,-0.88,-5.49,-0.88,0.34
746,746,T,WOTe,W,O,Te,740852-1,3.2,3.2,19.15,90.0,90.0,120.0,P 3 m 1,-22.49,-1.87,,,,,109.14,0.37,109.14,0.37,,,,,0.0,25.91,25.91,1.35,7.41,7.39,0.01,-1.27,-1.28,0.34,-3.34,-3.32,-0.38,4.61,4.61,0.04,WOO,WTeTe,-5.49,0.38,-5.49,0.38,0.68
747,747,T,WSSe,W,S,Se,741634-1,3.24,3.24,19.15,90.0,90.0,120.0,P 3 m 1,-21.81,-1.21,,,,,96.01,-11.62,96.01,-11.62,,,,,0.0,115.9,115.9,1.4,33.46,31.22,0.0,-12.98,-12.52,0.03,4.21,4.03,-0.04,8.77,8.49,0.01,WSS,WSeSe,-1.56,-0.88,-1.56,-0.88,0.01
748,748,T,WSTe,W,S,Te,741652-1,3.33,3.33,19.15,90.0,90.0,120.0,P 3 m 1,-20.79,-0.56,,,,,105.17,-5.39,105.17,-5.39,,,,,0.0,23.8,23.8,1.44,6.27,6.26,0.0,-5.01,-5.01,-0.02,0.35,0.36,-0.04,4.66,4.65,0.06,WSS,WTeTe,-1.56,0.38,-1.56,0.38,0.03
749,749,T,WSeTe,W,Se,Te,743452-1,3.39,3.39,19.15,90.0,90.0,120.0,P 3 m 1,-19.85,-0.24,,,,,99.28,-6.09,99.28,-6.09,,,,,0.0,36.85,36.85,1.47,5.61,5.58,0.0,-5.3,-5.3,-0.05,0.62,0.63,0.01,4.68,4.66,0.05,WSeSe,WTeTe,-0.88,0.38,-0.88,0.38,0.01
750,750,T,CrCBr,Cr,C,Br,240635-1,3.21,3.21,19.15,90.0,90.0,120.0,P 3 m 1,-18.61,1.64,,,,,78.72,62.62,78.72,62.62,,,,,0.0,34.03,34.03,1.31,1.85,1.84,0.01,-4.9,-4.89,0.31,2.76,2.75,-0.2,2.14,2.15,-0.11,CrCC,CrBrBr,5.39,-2.04,-2.04,5.39,-0.04
751,751,T,CrCCl,Cr,C,Cl,240617-1,3.06,3.06,19.15,90.0,90.0,120.0,P 3 m 1,-19.33,1.21,,,,,76.18,39.29,76.18,39.29,,,,,0.0,43.46,43.46,1.28,0.01,0.01,0.0,-7.04,-7.05,0.23,3.89,3.91,-0.08,3.15,3.14,-0.15,CrCC,CrClCl,5.39,-2.68,-2.68,5.39,-0.15
752,752,T,CrCF,Cr,C,F,240609-1,2.86,2.86,19.15,90.0,90.0,120.0,P 3 m 1,-21.36,-0.81,,,,,101.54,49.11,101.54,49.11,,,,,0.0,263.82,263.82,1.21,21.62,21.67,0.01,7.79,7.87,0.33,-5.5,-5.55,0.0,-2.29,-2.31,-0.33,CrCC,CrFF,5.39,-6.22,-6.22,5.39,-0.4
753,753,T,CrCI,Cr,C,I,240653-1,3.29,3.29,19.15,90.0,90.0,120.0,P 3 m 1,-17.73,2.35,,,,,87.1,44.67,87.1,44.67,,,,,0.0,60.55,60.55,1.36,4.92,4.45,0.01,1.6,1.57,0.25,-1.05,-1.06,-0.18,-0.55,-0.51,-0.07,CrCC,CrII,5.39,-1.17,-1.17,5.39,0.24
754,754,T,CrGeBr,Cr,Ge,Br,243235-1,3.12,3.12,19.15,90.0,90.0,120.0,P 3 m 1,-14.81,0.71,,,,,57.09,44.08,57.09,44.08,,,,,0.0,26.55,26.55,1.49,34.24,34.24,0.0,-2.05,-2.05,0.02,2.76,2.76,0.1,-0.7,-0.71,-0.12,CrGeGe,CrBrBr,1.17,-2.04,-2.04,1.17,1.14
755,755,T,CrGeCl,Cr,Ge,Cl,243217-1,2.99,2.99,19.15,90.0,90.0,120.0,P 3 m 1,-15.89,-0.08,,,,,74.1,43.67,74.1,43.67,,,,,0.0,27.15,27.15,1.45,20.6,20.6,0.01,-1.73,-1.71,0.02,3.02,3.02,0.12,-1.29,-1.31,-0.15,CrGeGe,CrClCl,1.17,-2.68,-2.68,1.17,0.67
756,756,T,CrGeF,Cr,Ge,F,243209-1,2.77,2.77,19.15,90.0,90.0,120.0,P 3 m 1,-17.96,-2.14,,,,,71.24,84.08,71.24,84.08,,,,,0.0,23.15,23.15,1.36,22.99,23.02,0.02,-1.33,-1.33,0.25,3.43,3.43,0.12,-2.1,-2.1,-0.38,CrGeGe,CrFF,1.17,-6.22,-6.22,1.17,0.38
757,757,T,CrGeI,Cr,Ge,I,243253-1,3.98,3.98,19.15,90.0,90.0,120.0,P 3 m 1,-14.28,1.07,,,,,24.8,23.11,24.8,23.11,,,,,0.0,13.39,13.39,1.36,1.52,1.54,0.0,1.66,1.66,0.03,0.46,0.47,0.09,-2.11,-2.13,-0.12,CrGeGe,CrII,1.17,-1.17,-1.17,1.17,1.07
758,758,T,CrSiBr,Cr,Si,Br,241435-1,3.22,3.22,19.15,90.0,90.0,120.0,P 3 m 1,-15.47,0.99,,,,,29.97,39.47,29.97,39.47,,,,,0.0,57.82,57.9,1.46,14.12,16.56,0.0,-5.2,-5.69,0.12,3.89,4.02,0.01,1.31,1.67,-0.13,CrSiSi,CrBrBr,1.11,-2.04,-2.04,1.11,1.45
759,759,T,CrSiCl,Cr,Si,Cl,241417-1,2.91,2.91,19.15,90.0,90.0,120.0,P 3 m 1,-16.43,0.3,,,,,63.58,62.01,63.58,62.01,,,,,0.0,32.76,32.76,1.45,32.32,32.27,0.01,-2.26,-2.24,0.05,3.54,3.54,0.1,-1.28,-1.3,-0.15,CrSiSi,CrClCl,1.11,-2.68,-2.68,1.11,1.09
760,760,T,CrSiF,Cr,Si,F,241409-1,2.63,2.63,19.15,90.0,90.0,120.0,P 3 m 1,-18.88,-2.14,,,,,111.13,52.96,111.13,52.96,,,,,0.0,17.38,17.38,1.36,22.14,22.14,0.02,-1.63,-1.62,0.26,3.45,3.45,0.11,-1.82,-1.83,-0.37,CrSiSi,CrFF,1.11,-6.22,-6.22,1.11,0.42
761,761,T,CrSiI,Cr,Si,I,241453-1,3.94,3.94,19.15,90.0,90.0,120.0,P 3 m 1,-14.82,1.46,,,,,21.71,27.58,21.71,27.58,,,,,0.0,16.65,16.66,1.35,1.96,2.05,0.0,2.35,2.38,0.03,-0.09,-0.07,0.1,-2.27,-2.32,-0.13,CrSiSi,CrII,1.11,-1.17,-1.17,1.11,1.49
762,762,T,CrSnBr,Cr,Sn,Br,245035-1,3.25,3.25,19.15,90.0,90.0,120.0,P 3 m 1,-14.38,0.49,,,,,-542.37,-568.21,-542.37,-568.21,,,,,0.0,29.16,29.16,1.51,23.04,23.08,0.0,-2.51,-2.51,-0.02,3.13,3.14,0.12,-0.63,-0.63,-0.1,CrSnSn,CrBrBr,1.55,-2.04,-2.04,1.55,0.73
763,763,T,CrSnCl,Cr,Sn,Cl,245017-1,3.16,3.16,19.15,90.0,90.0,120.0,P 3 m 1,-15.28,-0.12,,,,,-226.93,-260.56,-226.93,-260.56,,,,,0.0,30.88,30.88,1.47,20.93,20.96,0.0,-2.14,-2.14,-0.01,3.39,3.39,0.13,-1.25,-1.25,-0.12,CrSnSn,CrClCl,1.55,-2.68,-2.68,1.55,0.45
764,764,T,CrSnF,Cr,Sn,F,245009-1,3.18,3.18,19.15,90.0,90.0,120.0,P 3 m 1,-17.23,-2.06,,,,,38.01,54.16,38.01,54.16,,,,,0.0,390.77,390.77,1.38,4.77,4.3,0.03,-6.55,-4.75,0.41,1.93,1.83,0.03,4.62,2.92,-0.45,CrSnSn,CrFF,1.55,-6.22,-6.22,1.55,0.27
