,Unnamed: 0.1,Unnamed: 0,Phase,name,A,B,C,indexing,latt_x,latt_y,latt_z,angle_x,angle_y,angle_z,space_group,total_energy,energy_form,e11,e22,e31,e32,C11,C12,C22,C21,d11,d22,d31,d32,Eg_pbe,dielec_elec_xx,dielec_elec_yy,dielec_elec_zz,dielec_ion_xx,dielec_ion_yy,dielec_ion_zz,born_charge_A_xx,born_charge_A_yy,born_charge_A_zz,born_charge_B_xx,born_charge_B_yy,born_charge_B_zz,born_charge_C_xx,born_charge_C_yy,born_charge_C_zz,Parent_1,Parent_2,Parent_1_e,Parent_2_e,Parent_min,Parent_max,synthesis_index
1556,1556,1556,T',RhSbO,Rh,Sb,O,455108-3,6.35,3.08,19,90,90,119.11,P 1,-34.2,-1.19,,,,,105.31,33.12,115.79,33.12,,,,,0.0,26.45,27.22,1.37,11.12,12.09,0.01,-0.78,-1.33,0.12,2.95,3.04,0.09,-2.17,-1.71,-0.2,RhSbSb,RhOO,-0.54,-2.89,-2.89,-0.54,0.53
1557,1557,1557,T',RhSbS,Rh,Sb,S,455116-3,6.71,3.35,19,90,90,120.05,P 1,-32.58,-0.76,,,,,70.5,12.07,60.55,12.07,,,,,0.0,20.57,18.68,1.45,12.11,8.22,0.0,-3.56,-3.58,-0.09,2.36,2.25,0.06,1.2,1.33,0.03,RhSbSb,RhSS,-0.54,-1.0,-1.0,-0.54,0.01
1558,1558,1558,T',RhSbSe,Rh,Sb,Se,455134-3,6.91,3.65,19,90,90,121.91,P 1,-31.33,-0.76,-0.93,-2.68,-0.7,-0.71,63.23,22.04,62.17,22.04,-2.26,-6.67,-0.82,-0.84,0.13,12.71,12.49,1.45,4.89,3.07,0.0,-3.82,-3.37,-0.11,2.84,2.44,0.1,0.98,0.93,0.02,RhSbSb,RhSeSe,-0.54,-1.09,-1.09,-0.54,0.05
1559,1559,1559,T',RhSbTe,Rh,Sb,Te,455152-3,7.12,3.76,19,90,90,121.85,P 1,-30.47,-0.7,,,,,61.5,18.12,59.72,18.12,,,,,0.0,15.5,15.46,1.5,5.65,3.48,0.0,-4.84,-4.33,-0.13,2.86,2.52,0.1,1.97,1.82,0.03,RhSbSb,RhTeTe,-0.54,-0.94,-0.94,-0.54,0.05
1560,1560,1560,T',NiOBr,Ni,O,Br,280835-3,6.41,3.2,19,90,90,119.99,P 1,-25.33,-1.17,,,,,53.04,29.44,72.83,29.44,,,,,0.0,17.48,16.39,1.28,0.29,0.13,0.01,-0.12,-0.2,0.27,0.28,0.34,-0.23,-0.16,-0.14,-0.05,NiOO,NiBrBr,-2.99,-1.45,-2.99,-1.45,1.05
1561,1561,1561,T',NiOCl,Ni,O,Cl,280817-3,6.19,3.13,19,90,90,120.42,P 1,-26.8,-1.62,,,,,63.14,11.36,34.76,11.36,,,,,0.0,10.87,12.26,1.25,2.11,4.05,0.01,1.59,0.85,0.3,-0.06,0.7,-0.18,-1.52,-1.55,-0.12,NiOO,NiClCl,-2.99,-1.97,-2.99,-1.97,0.86
1562,1562,1562,T',NiOF,Ni,O,F,280809-3,5.84,2.91,19,90,90,119.94,P 1,-30.8,-3.61,,,,,87.02,39.56,88.23,39.56,,,,,0.0,10.09,10.29,1.18,2.41,2.05,0.02,2.42,2.5,0.44,-0.08,-0.31,-0.14,-2.34,-2.19,-0.3,NiOO,NiFF,-2.99,-4.96,-4.96,-2.99,0.37
1563,1563,1563,T',NiOI,Ni,O,I,280853-3,5.89,3.09,19,90,90,121.63,P 1,-25.72,-1.54,,,,,31.67,32.62,69.28,32.62,,,,,0.0,29.3,28.63,1.85,21.74,68.53,0.07,-1.46,-1.64,0.26,0.93,0.08,-0.28,0.53,1.57,0.01,NiOO,NiII,-2.99,-0.75,-2.99,-0.75,0.33
1564,1564,1564,T',NiSBr,Ni,S,Br,281635-3,6.77,3.46,19,90,90,119.97,P 1,-23.5,-0.63,,,,,55.23,27.81,44.7,27.81,,,,,0.0,19.31,26.33,1.34,3.38,15.08,0.0,1.18,1.26,0.13,1.43,2.47,0.01,-2.61,-3.72,-0.14,NiSS,NiBrBr,-0.64,-1.45,-1.45,-0.64,0.41
1565,1565,1565,T',NiSCl,Ni,S,Cl,281617-3,6.64,3.36,19,90,90,121.22,P 1,-24.8,-1.0,,,,,41.01,31.57,51.64,31.57,,,,,0.0,20.4,15.24,1.31,8.74,10.27,0.01,0.76,0.67,0.15,2.43,1.98,0.03,-3.19,-2.64,-0.18,NiSS,NiClCl,-0.64,-1.97,-1.97,-0.64,0.31
1566,1566,1566,T',NiSF,Ni,S,F,281609-3,6.27,3.13,19,90,90,119.81,P 1,-27.89,-2.53,,,,,24.67,31.44,22.48,31.44,,,,,0.0,12.88,13.27,1.24,1.66,2.23,0.02,-0.36,-0.11,0.31,1.7,1.74,0.03,-1.34,-1.62,-0.34,NiSS,NiFF,-0.64,-4.96,-4.96,-0.64,0.27
1567,1567,1567,T',NiSI,Ni,S,I,281653-3,7.15,3.54,19,90,90,119.68,P 1,-22.11,-0.11,,,,,49.9,20.14,56.6,20.14,,,,,0.0,37.98,33.19,1.37,7.22,3.3,0.02,0.52,0.48,0.09,0.51,-0.07,-0.02,-1.03,-0.41,-0.07,NiSS,NiII,-0.64,-0.75,-0.75,-0.64,0.58
1568,1568,1568,T',NiSeBr,Ni,Se,Br,283435-3,6.98,3.54,19,90,90,120.37,P 1,-22.54,-0.78,,,,,50.7,21.87,48.08,21.87,,,,,0.0,22.89,17.4,1.36,10.86,22.49,0.0,0.48,0.48,0.1,2.39,2.32,0.04,-2.87,-2.8,-0.14,NiSeSe,NiBrBr,-0.72,-1.45,-1.45,-0.72,0.3
1569,1569,1569,T',NiSeCl,Ni,Se,Cl,283417-3,6.75,3.44,19,90,90,120.49,P 1,-23.72,-1.09,,,,,38.2,33.52,36.86,33.52,,,,,0.0,17.91,19.77,1.33,9.03,6.99,0.01,0.15,-0.0,0.14,2.77,2.43,0.05,-2.92,-2.43,-0.18,NiSeSe,NiClCl,-0.72,-1.97,-1.97,-0.72,0.26
1570,1570,1570,T',NiSeF,Ni,Se,F,283409-3,6.39,3.26,19,90,90,120.81,P 1,-26.51,-2.47,,,,,33.31,20.28,52.1,20.28,,,,,0.0,34.21,19.9,1.26,4.48,4.97,0.02,-0.09,-0.11,0.31,2.22,2.25,0.05,-2.13,-2.14,-0.36,NiSeSe,NiFF,-0.72,-4.96,-4.96,-0.72,0.37
1571,1571,1571,T',NiSeI,Ni,Se,I,283453-3,7.39,3.59,19,90,90,119.04,P 1,-21.26,-0.32,,,,,34.56,17.97,52.68,17.97,,,,,0.0,30.57,22.13,1.39,5.18,2.51,0.01,-0.79,-0.61,0.04,2.38,1.78,0.03,-1.59,-1.17,-0.07,NiSeSe,NiII,-0.72,-0.75,-0.75,-0.72,0.41
1572,1572,1572,T',NiTeBr,Ni,Te,Br,285235-3,7.2,3.6,19,90,90,120.01,P 1,-21.79,-0.77,,,,,44.92,20.35,47.25,20.35,,,,,0.0,458.25,127.35,1.39,583.58,156.7,0.0,-1.02,-0.26,0.05,3.89,3.66,0.1,-2.87,-3.4,-0.15,NiTeTe,NiBrBr,-0.44,-1.45,-1.45,-0.44,0.17
1573,1573,1573,T',NiTeCl,Ni,Te,Cl,285217-3,7.01,3.51,19,90,90,119.98,P 1,-22.86,-1.02,,,,,50.3,20.08,51.32,20.08,,,,,0.0,16.38,17.79,1.36,9.62,8.25,0.01,-0.47,-0.6,0.08,3.47,3.5,0.1,-3.0,-2.89,-0.19,NiTeTe,NiClCl,-0.44,-1.97,-1.97,-0.44,0.19
1574,1574,1574,T',NiTeF,Ni,Te,F,285209-3,6.74,3.35,19,90,90,119.65,P 1,-25.21,-2.18,,,,,49.79,24.17,51.01,24.17,,,,,0.0,17.78,18.81,1.28,7.15,6.71,0.02,-0.22,-0.2,0.28,2.72,2.77,0.09,-2.5,-2.57,-0.37,NiTeTe,NiFF,-0.44,-4.96,-4.96,-0.44,0.52
1575,1575,1575,T',NiTeI,Ni,Te,I,285253-3,7.52,3.76,19,90,90,120.03,P 1,-20.63,-0.37,,,,,28.65,9.51,48.49,9.51,,,,,0.0,38.29,36.95,1.42,7.81,8.63,0.0,-0.73,-0.72,0.01,3.48,3.5,0.08,-2.76,-2.78,-0.09,NiTeTe,NiII,-0.44,-0.75,-0.75,-0.44,0.23
1576,1576,1576,T',PdOBr,Pd,O,Br,460835-3,7.41,3.19,19,90,90,115.48,P 1,-24.01,-0.76,0.83,1.33,0.67,0.88,29.9,5.74,51.05,5.74,3.45,2.92,1.87,1.55,0.51,5.02,5.17,1.28,0.59,0.64,0.01,1.49,1.61,0.27,-0.59,-0.73,-0.16,-0.9,-0.89,-0.12,PdOO,PdBrBr,-2.05,-1.2,-2.05,-1.2,0.86
